"gdp_mean","schol_d"
1.6e+07,"pam 1"
29400000,"pam 12"
25600000,"pam 13"
25300000,"pam 14"
25300000,"pam 15"
25300000,"pam 16"
16900000,"pam 17"
25300000,"pam 20"
18100000,"pam 23"
26100000,"pam 24"
23500000,"pam 25"
29500000,"pam 26"
19800000,"pam 27"
21600000,"pam 28"
23100000,"pam 3"
2e+07,"pam 30"
25300000,"pam 31"
15900000,"pam 32"
23900000,"pam 4"
29200000,"pam 5"
21500000,"pam 6"
2.3e+07,"pam 8"
23400000,"pam 9"
24600000,"pam 29"
16100000,"pam 7"
2.6e+07,"pam 10"
17100000,"pam 22"
11200000,"pam 2"
23300000,"pam 18"
15300000,"pam 11"
24800000,"pam 21"
1.6e+07,"pam 19"
11500000,"avs005"
11300000,"avs013"
11200000,"avs070"
14300000,"avs071"
16200000,"avs076"
11500000,"avs010"
10800000,"avs064"
23500000,"avs002"
21600000,"avs008"
22800000,"avs009"
8384397.905,"avs044"
7255996.082,"avs067"
20900000,"avs041"
16900000,"avs068"
21400000,"avs040"
23600000,"avs047"
17600000,"avs046"
17900000,"avs078"
6268907.24,"avs006"
7027490.88,"avs045"
25900000,"avs007"
23200000,"avs054"
24800000,"avs063"
24100000,"avs042"
14700000,"avs022"
14500000,"avs036"
14300000,"avs028"
14500000,"avs016"
14500000,"avs034"
14700000,"avs038"
11700000,"avs027"
14800000,"avs033"
13600000,"avs026"
16600000,"avs015"
15900000,"avs019"
10300000,"avs018"
10200000,"avs011"
10200000,"avs023"
14200000,"avs029"
12800000,"avs014"
14300000,"avs025"
10800000,"avs020"
13200000,"avs017"
12900000,"avs030"
13200000,"avs024"
9065109.603,"avs032"
9939205.994,"avs037"
7012943.541,"avs035"
14300000,"avs031"
10100000,"avs021"
2.5e+07,"avs039"
20500000,"avs060"
15700000,"avs072"
24100000,"avs058"
25900000,"avs057"
24800000,"avs074"
16400000,"avs062"
16600000,"avs052"
11500000,"avs050"
16600000,"avs048"
23500000,"avs043"
2.3e+07,"avs065"
12200000,"avs066"
28600000,"pam 58"
28600000,"pam 45"
28200000,"pam 46"
1.09e+08,"pam 50"
29800000,"pam 54"
26200000,"pam 60"
28600000,"pam 61"
25800000,"pam 62"
17400000,"pam 35"
28400000,"pam 40"
2.5e+07,"pam 41"
2.8e+07,"pam 44"
17300000,"pam 51"
28500000,"pam 59"
19100000,"pam 33"
19700000,"pam 34"
25800000,"pam 37"
28500000,"pam 47"
23600000,"pam 49"
23200000,"pam 52"
27200000,"pam 43"
28100000,"pam 48"
18300000,"pam 55"
17700000,"pam 56"
28300000,"pam 57"
28600000,"pam 42"
28600000,"pam 53"
64400000,"pam 38"
73200000,"pam 39"
18700000,"pam 36"
13500000,"avs051"
13500000,"avs004"
11200000,"avs001"
10500000,"avs056"
12100000,"avs053"
10200000,"avs077"
9402572.83,"avs055"
8535344.49,"avs059"
10300000,"avs003"
10700000,"avs049"
