"schol_d","total_pop_lag3yr","gdp_mean_lag3yr","gdp_mean_lag5yr"
"pam 1",105437.180645932,16367350.871422,16476672.6795128
"pam 12",140894.190245319,29857708.4564977,29894391.6842295
"pam 13",156083.530520684,26001838.1298689,26059768.3069803
"pam 14",130071.696106665,25755294.4009343,25828078.9503949
"pam 15",130071.696106665,25755294.4009343,25828078.9503949
"pam 16",130071.696106665,25755294.4009343,25828078.9503949
"pam 17",87968.0466906282,17198472.3535852,17286409.2408566
"pam 20",130071.696106665,25755294.4009343,25828078.9503949
"pam 23",116727.780926144,18459184.8462317,18568905.9217184
"pam 24",153567.922052908,26527817.2869324,26574235.3623879
"pam 25",139578.935552483,23929130.1263723,24002484.0201993
"pam 26",139752.557072034,29961998.7173129,30012396.319872
"pam 27",136883.447243612,20204505.3746983,20292089.4812584
"pam 28",140927.599427631,22024215.4656745,22106582.9634552
"pam 3",145770.377114316,23537998.5306,23613938.6429362
"pam 30",109986.840352722,20337911.611934,20415733.3373555
"pam 31",130071.696106665,25755294.4009343,25828078.9503949
"pam 32",100492.218193972,16273666.4385491,16387761.3825487
"pam 4",145498.465879759,24339428.1363177,24408205.8287661
"pam 5",138106.594977914,29614510.3461927,29657882.6531094
"pam 6",123484.321466083,21910178.0653327,22001434.0724928
"pam 8",155990.391391287,23443510.2469461,23515530.7352966
"pam 9",152509.70233329,23807958.5078306,23875815.8287635
"pam 29",138246.661020897,25035058.5330393,25103562.4830586
"pam 7",85676.459402744,16432477.699115,16524422.4727539
"pam 10",120938.040251956,26405602.077036,26488823.1151569
"pam 22",93360.2543654576,17411119.8607528,17495648.9718906
"pam 2",75661.8556892374,11507723.6526896,11592097.9374759
"pam 18",145005.615597391,23748095.9398612,23823642.9495952
"pam 11",91653.464646161,15589310.8964193,15673464.2274369
"pam 21",127710.700001838,25190243.9405106,25268479.0429672
"pam 19",100303.86424995,16301444.5728101,16401343.7337691
"avs005",126047.959983306,11663794.7156646,11708805.1896129
"avs013",122189.154919187,11553800.3756236,11598863.6485394
"avs070",117711.866408086,11399224.8415834,11446744.8951292
"avs071",187573.787196031,14487182.6298455,14508689.8858185
"avs076",195860.509806565,16394252.664374,16401310.9464628
"avs010",132584.69016719,11724098.9150336,11770921.3414265
"avs064",109437.065891018,11042637.3168984,11088295.5845398
"avs002",207166.54389503,23776104.6274722,23731928.2115015
"avs008",197162.837023261,21842947.1412219,21798214.8028652
"avs009",205522.570528704,23078936.4807932,23035322.082606
"avs044",108746.598291693,8548224.27890895,8588914.44900115
"avs067",96821.7603812297,7403152.46227186,7442715.15941403
"avs041",202222.674722584,21404873.6419321,21707410.399175
"avs068",200247.614232215,17351655.0282204,17619545.898685
"avs040",214015.202456569,21863136.1626874,22167589.523996
"avs047",218800.578118768,24146672.05401,24486929.6180449
"avs046",202577.262844422,18061211.8194444,18328036.1215218
"avs078",193093.845643669,18283278.0720591,18542377.3486615
"avs006",83796.8633975323,6479036.86326702,6626413.27815197
"avs045",102246.237474862,7261420.70434491,7425038.69463361
"avs007",246557.935796958,26549405.9782108,26925766.5089748
"avs054",218165.705482402,23715484.9649142,24044129.9065377
"avs063",229339.410655718,25391365.9146538,25749873.4535512
"avs042",236606.650490451,24630066.5966433,24975079.7357616
"avs022",177560.246781871,15131848.273397,15413546.1907996
"avs036",176590.950045108,14951599.7013262,15232729.7748895
"avs028",175662.608152324,14744468.0178383,15023211.8601288
"avs016",176336.164178471,14896966.9623245,15178628.1424072
"avs034",176336.164178471,14896966.9623245,15178628.1424072
"avs038",176996.174996902,15109511.3983369,15391977.5464334
"avs027",90033.9826882416,12011424.0039956,12256049.2498949
"avs033",140718.202562777,15261894.3842441,15559674.3590328
"avs026",115805.881795163,13975120.9549145,14258021.9355304
"avs015",178291.970749662,17030128.8850365,17335337.988835
"avs019",182621.858047594,16306797.3246878,16595347.8084054
"avs018",79805.4482322081,10651664.9692837,10876092.1873407
"avs011",111492.653689819,10563143.0579746,10816525.8826864
"avs023",126263.809124974,10527474.7213406,10769461.4613507
"avs029",184903.781687583,14642894.154008,14901277.90961
"avs014",172891.765977331,13160838.6372856,13411500.0144328
"avs025",175557.721716462,14670760.9261388,14944214.0108353
"avs020",164231.440176921,11152170.4253317,11370090.1432577
"avs017",170188.566795819,13583930.9277355,13842388.0861644
"avs030",168928.927930372,13336893.5594128,13602917.8230468
"avs024",156445.941422234,13581495.2256671,13855460.5151781
"avs032",109075.983323201,9373112.00458191,9589999.37663029
"avs037",137590.018909532,10270668.8952004,10502630.9383532
"avs035",85633.6878643997,7263239.44136271,7442395.62742152
"avs031",170507.538234431,14744767.6925981,15028827.7004617
"avs021",107919.831074564,10401661.3804386,10645781.3456149
"avs039",265170.558795714,25618833.2237613,25982947.3493614
"avs060",246063.374701449,21009159.6749545,21330397.0538368
"avs072",189666.880684383,16130487.2633783,16426240.5480059
"avs058",242120.421950061,24658269.1450144,25004058.0004794
"avs057",273828.478299471,26563356.5399136,26942460.6543228
"avs074",250526.365843642,25340785.0207733,25697913.967171
"avs062",145165.184248335,16854802.6820736,17144233.5790194
"avs052",143483.199757342,17058481.1742134,17342245.5948772
"avs050",139992.333484323,11889009.8950499,12134673.5452801
"avs048",181788.032182943,17070397.3658297,17348618.4652871
"avs043",232873.232775687,24098677.8624496,24439341.5733346
"avs065",241284.993581873,23526349.3005181,23859447.2137306
"avs066",142249.505933868,12594940.3256149,12850100.1936011
"pam 58",161354.420541484,29419358.8380835,29960146.2263636
"pam 45",161354.420541484,29419358.8380835,29960146.2263636
"pam 46",146210.431671411,29017817.7213763,29568835.0187753
"pam 50",1056186.16441059,112854745.026297,115883756.925177
"pam 54",186672.417075193,31020265.5834621,31964225.087151
"pam 60",159171.939490239,26942078.6686332,27424741.2423907
"pam 61",161354.420541484,29419358.8380835,29960146.2263636
"pam 62",168318.712112958,26468404.5893064,26940921.5945398
"pam 35",97338.2302881946,18015379.225881,18451035.3947622
"pam 40",161322.434844199,29188163.7912565,29725669.0927065
"pam 41",143709.345242019,25827156.752676,26371918.588621
"pam 44",160799.949733669,28831204.6782443,29359202.6169435
"pam 51",103486.08846491,18047877.3012963,18645189.8166924
"pam 59",153985.322985642,29363485.7020029,29906538.512307
